127.0.0.1 - - [23/Jan/2021:03:45:38 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:45:40 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 2794
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:45:40 -0300] "GET /TFTbuilder/Styles/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:45:40 -0300] "GET /TFTbuilder/MDB/js/mdb.min.js HTTP/1.1" 200 214603
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:45:40 -0300] "GET /TFTbuilder/Imagens/Misc/Fachada.png HTTP/1.1" 200 331190
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:45:40 -0300] "GET /TFTbuilder/Imagens/Misc/Banner.png HTTP/1.1" 200 25972
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:45:40 -0300] "GET /TFTbuilder/Imagens/Misc/Fundo.png HTTP/1.1" 200 1159934
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:46:39 -0300] "POST /TFTbuilder/Models/testLogin.jsp HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:46:40 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 5821
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:46:40 -0300] "GET /TFTbuilder/Imagens/Misc/Logo.png HTTP/1.1" 200 68274
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:46:40 -0300] "GET /TFTbuilder/Imagens/Misc/Banner_Campeoes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:46:40 -0300] "GET /TFTbuilder/Imagens/Misc/fundoFates.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:46:40 -0300] "GET /TFTbuilder/Imagens/Misc/fundoCampeoes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:46:40 -0300] "GET /TFTbuilder/Imagens/Misc/fundoSinergias.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:46:40 -0300] "GET /TFTbuilder/Imagens/Usuarios/icone.png HTTP/1.1" 200 31739
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:46:40 -0300] "GET /TFTbuilder/Imagens/Misc/fundoBuilder.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:46:41 -0300] "GET /TFTbuilder/Imagens/Misc/favicon.png HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:46:52 -0300] "GET /TFTbuilder/Controlers/user.jsp HTTP/1.1" 200 7212
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:46:54 -0300] "POST /TFTbuilder/Models/createRequest.jsp HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:46:56 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 5821
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:47:00 -0300] "GET /TFTbuilder/Models/disconnectUser.jsp HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:47:00 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 2794
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:47:05 -0300] "POST /TFTbuilder/Models/testLogin.jsp HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:47:05 -0300] "GET /TFTbuilder/Controlers/index.jsp HTTP/1.1" 200 5916
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:47:05 -0300] "GET /TFTbuilder/Imagens/Usuarios/sieg.png HTTP/1.1" 200 25528
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:47:06 -0300] "GET /TFTbuilder/Imagens/Misc/favicon.png HTTP/1.1" 200 28937
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:47:08 -0300] "GET /TFTbuilder/Controlers/user.jsp?acao=C HTTP/1.1" 200 6797
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:47:08 -0300] "GET /TFTbuilder/Models/createUserList.jsp?idUser=1 HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:47:08 -0300] "GET /TFTbuilder/Models/createRequestList.jsp?idUser=1 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:47:11 -0300] "GET /TFTbuilder/Controlers/user.jsp?acao=C&painel=R HTTP/1.1" 200 6839
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:47:11 -0300] "GET /TFTbuilder/Models/createUserList.jsp?idUser=1 HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:47:11 -0300] "GET /TFTbuilder/Models/createRequestList.jsp?idUser=1 HTTP/1.1" 200 143
0:0:0:0:0:0:0:1 - - [23/Jan/2021:03:48:39 -0300] "POST /TFTbuilder/Models/deleteRequest.jsp HTTP/1.1" 200 80
